start_year,withdrawal_years,total_withdrawal_krw,exact_reserve_krw,required_reserve_krw,depleted_with_initial_asset,depletion_month_with_initial_asset,ending_balance_with_initial_asset_krw
2002,24,360000000.0,242243308.72346556,243000000,True,2013-09,0.0
2003,23,345000000.0,125754480.41779153,126000000,False,-,2580750315.2433734
2004,22,330000000.0,162202910.83596724,163000000,False,-,913517372.0889442
2005,21,315000000.0,139678902.6746726,140000000,False,-,1530458682.5333207
2006,20,300000000.0,125711960.3285602,126000000,False,-,1859110196.4022202
2007,19,285000000.0,106379823.99786283,107000000,False,-,2416553759.479191
2008,18,270000000.0,109621779.3101853,110000000,False,-,1972538204.4739687
2009,17,255000000.0,81707967.87353323,82000000,False,-,2969115759.5258384
2010,16,240000000.0,89366781.70477751,90000000,False,-,2118032391.7527564
2011,15,225000000.0,87950897.79097185,88000000,False,-,1822971404.8451674
2012,14,210000000.0,77045273.2300318,78000000,False,-,1893780282.7885368
2013,13,195000000.0,70738959.71467923,71000000,False,-,1790889017.8580983
2014,12,180000000.0,74559864.28827247,75000000,False,-,1339149865.782752
2015,11,165000000.0,76300712.9143337,77000000,False,-,1049270805.1658411
2016,10,150000000.0,72232961.00360459,73000000,False,-,934366889.2667984
